epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.6190044283866882,9.999999747378752e-05,1.1835325956344604,0.8219653964042664,0.8331310749053955,0.5068158507347107,0.9708737730979919
1,0.8125,9.999999747378752e-05,0.6237146854400635,0.96875,0.8261529207229614,0.5360662937164307,0.9693567752838135
2,0.8551250100135803,9.999999747378752e-05,0.45577335357666016,0.9642722010612488,0.9332524538040161,0.20655038952827454,0.9842233061790466
3,0.96875,9.999999747378752e-05,0.17412406206130981,0.96875,0.9338592290878296,0.20605935156345367,0.9833130836486816
4,0.8979530334472656,9.999999747378752e-05,0.33277833461761475,0.976433277130127,0.9111043810844421,0.2661639153957367,0.9854369163513184
5,0.90625,9.999999747378752e-05,0.31258589029312134,0.96875,0.9120145440101624,0.2754020094871521,0.9842233061790466
6,0.9087544083595276,9.999999747378752e-05,0.2802426218986511,0.9800589084625244,0.9141383767127991,0.29846876859664917,0.9890776872634888
7,1.0,9.999999747378752e-05,0.04338535666465759,1.0,0.9141383767127991,0.3064180314540863,0.9890776872634888
8,0.9249187707901001,9.999999747378752e-05,0.23861341178417206,0.9848931431770325,0.9350728392601013,0.2121172845363617,0.9875606894493103
9,0.84375,4.999999873689376e-05,0.31203633546829224,1.0,0.9344660043716431,0.21480156481266022,0.9875606894493103
10,0.9381372928619385,4.999999873689376e-05,0.19198466837406158,0.9879900217056274,0.9523665308952332,0.148274764418602,0.9896844625473022
11,0.96875,4.999999873689376e-05,0.07286582142114639,1.0,0.9532766938209534,0.14705561101436615,0.9896844625473022
12,0.9489387273788452,4.999999873689376e-05,0.1545502096414566,0.9907092452049255,0.9484223127365112,0.15612637996673584,0.9896844625473022
13,0.90625,4.999999873689376e-05,0.5018818378448486,1.0,0.948725700378418,0.1553594470024109,0.9896844625473022
14,0.9556612968444824,4.999999873689376e-05,0.13626296818256378,0.9919933676719666,0.9590412378311157,0.12474650144577026,0.9915048480033875
15,0.9375,4.999999873689376e-05,0.0883684903383255,1.0,0.9599514603614807,0.12416587769985199,0.9915048480033875
16,0.9561145305633545,4.999999873689376e-05,0.12987472116947174,0.9935040473937988,0.9581310749053955,0.13669069111347198,0.9933252334594727
17,0.9375,4.999999873689376e-05,0.22057080268859863,0.96875,0.957524299621582,0.13775195181369781,0.9933252334594727
18,0.9621572494506836,4.999999873689376e-05,0.1135333776473999,0.9936550855636597,0.9535800814628601,0.1626562625169754,0.9893810749053955
19,1.0,4.999999873689376e-05,0.05592387169599533,1.0,0.9541869163513184,0.16259758174419403,0.9890776872634888
20,0.9634413719177246,4.999999873689376e-05,0.11336880922317505,0.9944104552268982,0.9429611563682556,0.19241400063037872,0.988774299621582
21,0.96875,2.499999936844688e-05,0.10685550421476364,1.0,0.9429611563682556,0.19199156761169434,0.988774299621582
22,0.9698617458343506,2.499999936844688e-05,0.09217836707830429,0.9960722327232361,0.9666262269020081,0.10916254669427872,0.9927184581756592
23,0.96875,2.499999936844688e-05,0.04200315847992897,1.0,0.9669296145439148,0.10945741087198257,0.9927184581756592
24,0.9740161895751953,2.499999936844688e-05,0.07802601158618927,0.9961477518081665,0.9681432247161865,0.10490705072879791,0.9930218458175659
25,1.0,2.499999936844688e-05,0.01327428873628378,1.0,0.9681432247161865,0.10489702969789505,0.9930218458175659
26,0.9768864512443542,2.499999936844688e-05,0.06637468934059143,0.9972051978111267,0.9693567752838135,0.10379902273416519,0.9933252334594727
27,0.96875,2.499999936844688e-05,0.04108963906764984,1.0,0.9693567752838135,0.10379499942064285,0.9933252334594727
28,0.9757534265518188,2.499999936844688e-05,0.06859298050403595,0.9969786405563354,0.9666262269020081,0.11028307676315308,0.9930218458175659
29,1.0,2.499999936844688e-05,0.008836489170789719,1.0,0.9675363898277283,0.10951931774616241,0.9930218458175659
30,0.9781705737113953,2.499999936844688e-05,0.06396207958459854,0.9974318146705627,0.9681432247161865,0.11040590703487396,0.9939320683479309
31,1.0,2.499999936844688e-05,0.02930431067943573,1.0,0.9684466123580933,0.11013903468847275,0.9942354559898376
32,0.98021000623703,1.249999968422344e-05,0.054690293967723846,0.9974318146705627,0.967839777469635,0.11639492213726044,0.9945388436317444
33,0.96875,1.249999968422344e-05,0.027898034080863,1.0,0.9672330021858215,0.11635101586580276,0.9945388436317444
34,0.9813430309295654,1.249999968422344e-05,0.05263648182153702,0.9978095293045044,0.9693567752838135,0.10740500688552856,0.9942354559898376
35,1.0,1.249999968422344e-05,0.006641407497227192,1.0,0.969660222530365,0.10727935284376144,0.9939320683479309
36,0.9812674522399902,1.249999968422344e-05,0.05315282568335533,0.9977339506149292,0.9663228392601013,0.1120738685131073,0.9945388436317444
37,1.0,6.24999984211172e-06,0.021939946338534355,1.0,0.9666262269020081,0.11208784580230713,0.9945388436317444
