Clase,Confianza (%),Latencia (ms),Timestamp
Spider Mites,100.0,179,1756371884879
Spider Mites,100.0,180,1756371905012
Spider Mites,100.0,180,1756371911025
Spider Mites,100.0,191,1756371916267
Spider Mites,97.7,198,1756371922589
Spider Mites,99.4,198,1756371928004
Spider Mites,100.0,198,1756371933133
Spider Mites,100.0,197,1756371939097
Spider Mites,100.0,198,1756371944862
Target Spot,100.0,178,1756371969645
Target Spot,90.8,180,1756371990173
Target Spot,99.9,179,1756371992428
Target Spot,99.8,179,1756371994534
Target Spot,100.0,180,1756371997242
Target Spot,99.7,178,1756371999897
Target Spot,67.0,198,1756372003075
Target Spot,100.0,198,1756372006400
Target Spot,98.8,197,1756372012599
Target Spot,100.0,197,1756372019181
Target Spot,99.6,198,1756372024535
Target Spot,99.6,197,1756372032080
Target Spot,100.0,197,1756372037178
Target Spot,100.0,198,1756372048873
Healthy,78.4,197,1756372057294
Target Spot,97.4,197,1756372064862
Healthy,71.2,198,1756372072400
Target Spot,100.0,197,1756372081603
Healthy,68.7,179,1756372219279
Target Spot,97.4,179,1756372228201
Target Spot,99.5,179,1756372234874
Tomato Mosaic Virus,100.0,179,1756372300416
Tomato Mosaic Virus,100.0,179,1756372305058
Tomato Mosaic Virus,100.0,178,1756372308568
Tomato Mosaic Virus,100.0,179,1756372311625
Tomato Mosaic Virus,99.9,179,1756372314384
Tomato Mosaic Virus,100.0,179,1756372319100
Tomato Mosaic Virus,100.0,179,1756372322002
Tomato Mosaic Virus,100.0,179,1756372324843
Tomato Mosaic Virus,99.9,179,1756372328953
Tomato Mosaic Virus,96.8,197,1756372333717
Tomato Mosaic Virus,97.4,198,1756372340618
Tomato Mosaic Virus,100.0,179,1756372347498
Tomato Mosaic Virus,100.0,178,1756372363789
Tomato Mosaic Virus,42.4,180,1756372370107
Tomato Mosaic Virus,64.9,179,1756372379948
Tomato Mosaic Virus,100.0,179,1756372389370
Tomato Mosaic Virus,100.0,179,1756372395022
Tomato Mosaic Virus,100.0,180,1756372401556
Tomato Mosaic Virus,100.0,179,1756372408351
Septoria Leaf Spot,58.5,178,1756372416388
Tomato Mosaic Virus,99.0,179,1756372424609
Tomato Mosaic Virus,100.0,179,1756372437357
Yellow Leaf Curl Virus,100.0,179,1756372453681
Yellow Leaf Curl Virus,100.0,180,1756372459394
Yellow Leaf Curl Virus,100.0,179,1756372463187
Yellow Leaf Curl Virus,100.0,179,1756372466797
Yellow Leaf Curl Virus,100.0,179,1756372469738
Yellow Leaf Curl Virus,100.0,179,1756372472845
Yellow Leaf Curl Virus,100.0,179,1756372475619
Yellow Leaf Curl Virus,100.0,197,1756372481034
Yellow Leaf Curl Virus,100.0,197,1756372484848
Yellow Leaf Curl Virus,100.0,198,1756372489665
Yellow Leaf Curl Virus,100.0,198,1756372496608
Yellow Leaf Curl Virus,100.0,197,1756372502907
Yellow Leaf Curl Virus,100.0,197,1756372507852
Yellow Leaf Curl Virus,100.0,197,1756372513034
Yellow Leaf Curl Virus,100.0,197,1756372520688
Yellow Leaf Curl Virus,99.5,198,1756372527903
Yellow Leaf Curl Virus,100.0,198,1756372538629
Yellow Leaf Curl Virus,100.0,197,1756372546800
Yellow Leaf Curl Virus,100.0,197,1756372552301
Yellow Leaf Curl Virus,99.5,197,1756372560166
Yellow Leaf Curl Virus,100.0,197,1756372569824
